name,abv,desc,style_name
Old Ale,6.9,A traditional English-style sipper; perfect for a chilly Vermont evening (or day for that matter). This beer is malt forward but the hops are present. A stupendous ale to quaff whence wassailing.,Old Ale
Old Chico Crystal Wheat,4.8,"Old Chico Crystal Wheat is our lightest offering. This filtered beer is brewed with malted wheat and barley, and perfectly balanced by unique Crystal hops. Old Chico is a great choice for those new to craft brew and longtime beer aficionados alike—light-bodied, refreshing and wonderfully drinkable.",American Pale
Old Chub,8.0,"Old Chub is a Scottish strong ale brewed with hearty amounts of seven different malts, including crystal and chocolate malts, and a smidge of US and UK hops. Old Chub also gets a dash of beechwood-smoked grains imported from Bamburg, Germany, home of the world's greatest smoked beers. Old Chub is 8% alcohol by volume.  While Dale's satisfies our hop addiction, Old Chub takes care of our deep affections for malt.  The cola-colored beer (almost black) features a tan head, a creamy, skim-milk mouthfeel, and rich, semi-sweet flavors of caramel and chocolate throughout. The addition of smoked grains gives Old Chub a delicate kiss of smoke on the finish.  Old Chub is the beer equivalent of a lightly smoked single malt scotch, or your favorite dark chocolate. We call it Rocky Mountain Mutha's Milk. People who tell us defiantly, \I don't drink dark beer",Scotch Ale
Old Chub Nitro,8.0,"Just like Old Chub... but on NITRO! A brobdingnagian celebration of rich malts and smoked grains creates a smooth ﬁnishing character for the herculean size of this Scotch Ale (8% A.B.V./30 IBU). The ﬁrst American craft nitro beer in a can, Old Chub Nitro Scotch Ale takes the big, bold original favorite and adds the creamy, velvety mouth-feel that only nitro can add and makes this local Colorado nitro unique.",Scotch Ale
Old Double Bagger Barleywine,13.2,"Still a youngster at this point, Old Double Bagger (ODB for short) has a long life ahead of it.  At 13.2% ABV and 100 IBUs this ale will age for years and develop over time.  Look for a straight forward spicy citrus character from the exclusive use of Columbus hops and the considerable alcohol with a subdued malt background.  This is a work in progress and we look forward to seeing how it ages.",American Barleywine
One Nut,6.1,"A year round Classic, Full-Bodied Brown Ale Moderately Hopped with Rich Brown Tones, 6.1% ABV

Sold at the Oskar Blues Grill & Brew.",American Brown
Ophelia,6.6,"Subtle hints of citrus round out the complex aroma of Mosaic hops, for a beer so drinkable, it’ll last through multiple acts.",Wheat Ale
Oskar Blues IPA,6.43,"A Metamodern IPA conceived of hand selected hops from down under. Malt barley and red wheat combine to create a clean malt backbone with foolproof flavor and mouthfeel to support the main act of Enigma, Vic Secret, Ella, Topaz and Galaxy hops. The hops strum juicy and sweet aromas with headline notes of passion fruit, raspberries, pineapple and citrus. This straight-up strain is Oskar Blues IPA (6.43% ABV). To each their own til we go home.",American IPA
Otra Vez,4.5,"We wanted to make one of the easiest drinking craft beers out there, and funny enough Otra Vez has been a bear to get just right,” said Ken Grossman, Sierra Nevada’s founder. “We brewed several test batches a week for nearly a year, and even delicate changes made a big difference. Then it all clicked with perfect balance and complexity. We think folks will really enjoy it.",Contemporary Gose
Otra Vez Gose With Lime & Agave,4.9,"We combined the classic flavors of lime and blue agave nectar in a tart gose-style beer for the ultimate answer to the heavy heat of the day. The bright lime flavor helps wake up the palate while the mild sweetness of the agave rounds out the tangy zip of the citrus fruit. Light and refreshing, this all-new Otra Vez will have you calling for another round.",Contemporary Gose
Ovila Abbey Aged Dubbel,8.5,"This Abbey Dubbel was aged in a blend of red wine and bourbon barrels to add a new level of complexity to an already beguiling brew. Rich malt flavors of burnt sugar and caramel blend seamlessly with bright fruit notes from the wine barrels, while the bourbon oak lends a mellow hint of vanilla.",Belgian Dubbel
Ovila Abbey Brown Ale (With Mandarins and Cocoa),7.0,"In Europe, the combination of chocolate and orange has been a traditional mix for generations. Belgian-style brown ales naturally feature hints of chocolate, but this twist on the style is accented by the use of cocoa and abbey-grown mandarins for an updated interpretation of the classic pairing.",American Brown
Ovila Abbey Quad with Plums,10.2,"Rich, dark, and infused with the complex sweetness of abbey-grown plums.

Ovila Abbey Quad is heady with aromas of caramel, rich malt, and dark fruit balanced by the spiciness and delicate fruity notes of a traditional Belgian yeast. This complex beer is a collaboration between Sierra Nevada Brewing Co. and the monks of the Abbey of New Clairvaux. It features sugar plums grown on the grounds of the Abbey and harvested by the monks in Vina. We hope you enjoy this collaboration ale.",Belgian Quad
Ovila Abbey Saison,7.5,"Complex yet rustic farmhouse ale.

An homage to the monks’ noble work, this unique farmhouse ale is incredibly complex with notes of lemon, pepper, straw and herbs balanced by the tang of Mandarin oranges and a spicy kick of pepper. The Mandarin oranges used to make this beer were locally grown, including a portion grown on the grounds of the Abbey of New Clairvaux and picked by hand by the community of monks living there. We hope you enjoy this collaboration ale.",Saison
Ovila Abbey Saison (w/ Mandarin Oranges and Peppercorns),7.5,"An homage to the monks’ noble work, this unique farmhouse ale is incredibly complex with notes of lemon, pepper, straw and herbs balanced by the tang of Mandarin oranges and a spicy kick of pepper. The Mandarin oranges used to make this beer were locally grown, including a portion grown on the grounds of the Abbey of New Clairvaux and picked by hand by the community of monks living there.",Saison
Ovila Abbey Trippel,8.8,"Great Tripels are a testament to the skill of the brewer-monks who created them. Tripels play tricks on the senses—at first glance, they appear delicate and simple, but in reality, the golden color and mild appearance conceal a wealth of complex flavors. Ovila Abbey Tripel is our take on the classic style, with toasty malt sweetness balanced by reserved floral hop notes and complemented by a traditional Belgian abbey yeast. We hope you enjoy this collaboration ale.",Belgian Tripel
Ovila Abbey White,5.3,"The monks at the Abbey of New Clairvaux hold themselves to a higher standard. So when they challenged us to create a beer that transcends all others, our brewers blended Old World tradition with modern-day mastery to deliver the perfect expression of Belgian witbier worthy of a goblet but comfortable in a pint.",Witbier
Ovila Belgian Golden Ale,8.5,"This abbey ale is a collaboration between Sierra Nevada Brewing Co. and the monks, at the Abbey of New Clairvaux. 

Belgian inspired golden ales are noted for their devilish personalities, but there is nothing mischievous about this complex ale. It is brilliant golden and layered with notes of summery apple and pear and pepperv spice from the use of a traditional Belgian yeast strain. 

A portion of proceeds from this ale goes toward the restoration of the historic Santa Maria de Ovila chapter house on the grounds of the Abbey of New Clairvaux. This medieval building stood for nearly eight centuries in Spain. William Randolph Hearst purchased the monastery 1931 and planned use the stones for a castle even grander than his famous San Simeon. Although Hearst’s, plans crumbled. these historic stones will rise again in a California Cistercian abbey.",Belgian Pale Strong
Ovila Dubbel Barrel-Aged,10.8,Belgian-style dubbel aged in wine barrels.,BBL Aged
Ovila Golden With Pomegranates,8.5,"Pomegranates have been treasured since ancient times and used as symbols of fruitfulness and prosperity. In the modern era, they are prized for their unique sweet-tart flavor and intense red color, which acts as a perfect counterpoint for the spicy Belgian-style golden ale. This collaboration beer features pomegranates grown at the Abbey of New Clairvaux.",Blonde
Pacific Daylight,3.9,"A lager using many of the same ingredients as a California Common Beer, but with Citra hops and a bright refreshing taste.",Session
Pale Ale,5.6,"Our most popular beer, Sierra Nevada Pale Ale, is a delightful interpretation of a classic style. It has a deep amber color and an exceptionally full-bodied, complex character. Generous quantities of premium Cascade hops give the Pale Ale its fragrant bouquet and spicy flavor.

“Sierra Nevada Pale Ale is the flagship beer, the one that made Chico famous. It is a flawless beer that opens with bright, perky high notes of maltiness and orange blossom and segues into a delectable hoppiness.”",American Pale
Paleooza,4.4,"Our classic Pale Ale, with Michigan grown, cascade hops and dry hopped with galaxy hops. Bright hoppiness and pleasant aromatics framed with balancing sweetness of pale malts.",American Pale
Palé,7.1,Barrel-aged Pale Ale with Mangoes and Tea,American Pale
Pandora's Bock,7.5,"Desire coupled with curiosity can drive you to do many foolish things. Fortunately, opening a bottle of our Pandora’s Bock is not one of them. Once it is released, a wealth of flavor and complexity will spill out into the world. With a traditional bock flavor profile and a hint of hoppy goodness, there’s a reason it’s spoken about in mythical terms.

Yeast: Bavarian Lager
Malts: Two Row Pale, Munich, Bonlander, Caramel
Hops: Strisselspalt, Chinook",Bock
Passion Blaster,6.0,"Rose ale brewed with passion fruit, raspberry, and apple.",Fruit Beer
Passion Grass,5.0,Passion Grass is brewed with both lemongrass and passion fruit. A collaboration beer between Lagunitas Brewing Company and Short’s Brewing Company.,American Pale
Peach-a-Rita,8.0,"Peach-a-Rita, please! Ripe, sweet and tart flavors you love paired with margarita flavors you love!",Flavored Malt Beverage
Pilgrim's Dole,12.0,"A barleywine-style ale made with fifty percent wheat malt, or what we at New Holland call a wheatwine. Pilgrim’s Dole blends warming and slightly sweet flavors with a unique caramelized character.",Wheatwine
